NAME,DATE,REVIEW_BODY,PROFILE_PIC,RATINGS_ID
Connor Wilson,June 2011, The place smelled very bad! Why didn't I find this place sooner?,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,2
John Campbell,December 2008, It was quite a drive from the airport. BE WARNED! The town was very cute. I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4626351.jpeg,2
Henry Fradley,September 2009, Why didn't I find this place sooner? But the owner was cool. You can tell the owner really likes bears. BEST TRIP EVER! I came here for my honemoon. This place is awesome! BE WARNED! I want my money back. I wish I could have stayed longer.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,2
Daniel Lee,May 2013, Why didn't I find this place sooner? The view form the back porch was to die for. It was quite a drive from the airport. This place is awesome! I do not regret anything! The town was very cute. And I would do it again! I came here for my honemoon. BEST TRIP EVER!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,3
Rebecca Wiegel,July 2015, BEST TRIP EVER! I came here for my honemoon. NO INDOOR PLUMBING!! BE WARNED! I want my money back. You can tell the owner really likes bears. But seriously tell all your friends! The town was very cute. The view form the back porch was to die for. We had so much fun!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3775540.jpeg,3
Mitch McDermott,August 2013, The town was very cute. NO INDOOR PLUMBING!! I wish I could have stayed longer. The owner wouldn't let me bring my pet bear. I do not regret anything!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,3
Derek Warner-Reyes,October 2014, I do not regret anything! Why didn't I find this place sooner? I came here for my honemoon. I want my money back. The owner wouldn't let me bring my pet bear. I wish I could have stayed longer. This place is awesome! The place smelled very bad! BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4626351.jpeg,3
John Kelly,June 2013, Why didn't I find this place sooner? The town was very cute. It was quite a drive from the airport. This place is awesome! The torcher chamber was a bit too much. But the owner was cool. We had so much fun! The place smelled very bad! I do not regret anything! The view form the back porch was to die for. You can tell the owner really likes bears. I wish I could have stayed longer. BEST TRIP EVER! My partner and I always wanted to visit. I came here for my honemoon. Very much worth it. The owner has the best style. I want my money back. NO INDOOR PLUMBING!! And I would do it again! BE WARNED! But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,3
Zach McCain,November 2012, I want my money back. The place smelled very bad! The view form the back porch was to die for. We had so much fun! But seriously tell all your friends! This place is awesome! It was quite a drive from the airport. I do not regret anything! You can tell the owner really likes bears. The owner has the best style. BEST TRIP EVER! BE WARNED! My partner and I always wanted to visit. The torcher chamber was a bit too much. And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,3
Giovani Maccagno,April 2010, We had so much fun! The town was very cute. It was quite a drive from the airport. BEST TRIP EVER! Why didn't I find this place sooner? And I would do it again! The torcher chamber was a bit too much. But seriously tell all your friends! Very much worth it. But the owner was cool. The owner wouldn't let me bring my pet bear. The view form the back porch was to die for. I wish I could have stayed longer. This place is awesome! NO INDOOR PLUMBING!! My partner and I always wanted to visit. You can tell the owner really likes bears.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,3
David Kim,July 2018, And I would do it again! Very much worth it. I wish I could have stayed longer. We had so much fun! But the owner was cool. But seriously tell all your friends! I want my money back. The owner has the best style. The view form the back porch was to die for. BE WARNED! This place is awesome! The owner wouldn't let me bring my pet bear. The place smelled very bad! It was quite a drive from the airport. NO INDOOR PLUMBING!! BEST TRIP EVER! I came here for my honemoon. The town was very cute.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,3
Seth Lassen,December 2019, The town was very cute. The owner has the best style. You can tell the owner really likes bears. Very much worth it. It was quite a drive from the airport. BE WARNED! The owner wouldn't let me bring my pet bear. The view form the back porch was to die for. This place is awesome!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886781.jpeg,3
Leah Cardon,December 2012, Why didn't I find this place sooner? We had so much fun! BEST TRIP EVER! The owner has the best style. The owner wouldn't let me bring my pet bear. The town was very cute. But seriously tell all your friends! I wish I could have stayed longer. I want my money back. I do not regret anything! But the owner was cool. It was quite a drive from the airport. The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,3
Alysa Shin,December 2012, I want my money back. The owner wouldn't let me bring my pet bear. The torcher chamber was a bit too much. NO INDOOR PLUMBING!! But the owner was cool. This place is awesome! The place smelled very bad! My partner and I always wanted to visit. The owner has the best style. You can tell the owner really likes bears. I do not regret anything! Why didn't I find this place sooner? The town was very cute.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,3
Sam Goldie,October 2008, The place smelled very bad! But seriously tell all your friends! The town was very cute. We had so much fun!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,3
John Anderton,October 2018, The torcher chamber was a bit too much. It was quite a drive from the airport. I want my money back.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,3
Christina Meador,June 2019, The owner wouldn't let me bring my pet bear. The town was very cute. I wish I could have stayed longer. Very much worth it.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,3
Joe Wnukoski,September 2019, The view form the back porch was to die for. NO INDOOR PLUMBING!! I wish I could have stayed longer. I came here for my honemoon. The owner has the best style. We had so much fun! I do not regret anything! Very much worth it. I want my money back. But seriously tell all your friends! The owner wouldn't let me bring my pet bear. The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,3
Connor Wilson,May 2010, The owner wouldn't let me bring my pet bear. The torcher chamber was a bit too much. Very much worth it. You can tell the owner really likes bears. I want my money back. It was quite a drive from the airport. The place smelled very bad! BEST TRIP EVER!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,4
Nick Mendini,July 2015, The town was very cute. I do not regret anything! I came here for my honemoon. You can tell the owner really likes bears. Very much worth it. And I would do it again! The owner wouldn't let me bring my pet bear. But the owner was cool. But seriously tell all your friends! My partner and I always wanted to visit. The view form the back porch was to die for. BE WARNED! The torcher chamber was a bit too much. The place smelled very bad! It was quite a drive from the airport. This place is awesome! I want my money back. NO INDOOR PLUMBING!! The owner has the best style. Why didn't I find this place sooner?,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,4
Zain Padela,January 2012, The view form the back porch was to die for. I came here for my honemoon. The owner has the best style. It was quite a drive from the airport. My partner and I always wanted to visit. We had so much fun! I wish I could have stayed longer. NO INDOOR PLUMBING!! BEST TRIP EVER! BE WARNED! But seriously tell all your friends! The place smelled very bad! Very much worth it.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,4
Frans Larson,February 2020, BE WARNED! NO INDOOR PLUMBING!! The view form the back porch was to die for. My partner and I always wanted to visit. But seriously tell all your friends! The owner has the best style. I want my money back. The owner wouldn't let me bring my pet bear. And I would do it again! The place smelled very bad! But the owner was cool. I came here for my honemoon. It was quite a drive from the airport. I wish I could have stayed longer. I do not regret anything! We had so much fun! Very much worth it.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3775540.jpeg,4
Parker Stafford,August 2011, NO INDOOR PLUMBING!! It was quite a drive from the airport. I do not regret anything! The owner wouldn't let me bring my pet bear. You can tell the owner really likes bears. The torcher chamber was a bit too much. I wish I could have stayed longer. BEST TRIP EVER! This place is awesome! Very much worth it. But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886781.jpeg,4
Michael Wetterauer,November 2014, I do not regret anything! BE WARNED! NO INDOOR PLUMBING!! This place is awesome! And I would do it again! The view form the back porch was to die for. We had so much fun! The place smelled very bad! But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,4
Matthew Morgan,December 2015, I do not regret anything! I wish I could have stayed longer. The torcher chamber was a bit too much. The owner wouldn't let me bring my pet bear. And I would do it again! NO INDOOR PLUMBING!! I want my money back. It was quite a drive from the airport. BEST TRIP EVER! You can tell the owner really likes bears. The town was very cute. But the owner was cool. But seriously tell all your friends! BE WARNED! Why didn't I find this place sooner? I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,5
Alex Sandoval,November 2020, The owner has the best style. Very much worth it. I came here for my honemoon. The view form the back porch was to die for. I wish I could have stayed longer. The torcher chamber was a bit too much. But seriously tell all your friends! Why didn't I find this place sooner? The owner wouldn't let me bring my pet bear. BEST TRIP EVER! The place smelled very bad! NO INDOOR PLUMBING!! But the owner was cool. The town was very cute. You can tell the owner really likes bears. BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,5
Alysa Shin,September 2019, We had so much fun! I wish I could have stayed longer. This place is awesome! But seriously tell all your friends! My partner and I always wanted to visit. You can tell the owner really likes bears.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,5
Rebecca Wiegel,June 2017, You can tell the owner really likes bears. And I would do it again! My partner and I always wanted to visit. The town was very cute. The torcher chamber was a bit too much. This place is awesome! The owner wouldn't let me bring my pet bear. But seriously tell all your friends! I do not regret anything! The owner has the best style. Why didn't I find this place sooner? NO INDOOR PLUMBING!! It was quite a drive from the airport. We had so much fun! I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,5
Christina Meador,May 2018, And I would do it again! We had so much fun! My partner and I always wanted to visit. I want my money back. Why didn't I find this place sooner?,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,5
Giovani Maccagno,July 2017, My partner and I always wanted to visit. NO INDOOR PLUMBING!! The view form the back porch was to die for. We had so much fun! The torcher chamber was a bit too much. I came here for my honemoon. BEST TRIP EVER! And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,5
Nick Mendini,April 2010, It was quite a drive from the airport. The town was very cute. I wish I could have stayed longer. The torcher chamber was a bit too much. BE WARNED! I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4626351.jpeg,6
Derek Warner-Reyes,July 2020, The owner has the best style. NO INDOOR PLUMBING!! And I would do it again! I came here for my honemoon. I wish I could have stayed longer. We had so much fun! Very much worth it. BE WARNED! I do not regret anything! The place smelled very bad! But the owner was cool. Why didn't I find this place sooner? The torcher chamber was a bit too much. BEST TRIP EVER! This place is awesome! My partner and I always wanted to visit. The view form the back porch was to die for. You can tell the owner really likes bears. The owner wouldn't let me bring my pet bear. But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,6
Joe Wnukoski,May 2012, And I would do it again! I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886781.jpeg,6
Henry Fradley,October 2017, I wish I could have stayed longer. And I would do it again! It was quite a drive from the airport. Very much worth it. I want my money back. BE WARNED! But the owner was cool. BEST TRIP EVER! The torcher chamber was a bit too much. The town was very cute. The place smelled very bad! You can tell the owner really likes bears. NO INDOOR PLUMBING!! The owner has the best style. The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,6
Giovani Maccagno,July 2014, And I would do it again! I wish I could have stayed longer. We had so much fun! Very much worth it. It was quite a drive from the airport. BE WARNED! The torcher chamber was a bit too much. Why didn't I find this place sooner? I came here for my honemoon. BEST TRIP EVER! The owner has the best style. But seriously tell all your friends! I want my money back. The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,6
John Campbell,December 2019, I came here for my honemoon. NO INDOOR PLUMBING!! The view form the back porch was to die for. The town was very cute. Very much worth it. I want my money back. This place is awesome! But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,6
Joe Buono,June 2011, The place smelled very bad! I came here for my honemoon. The owner has the best style. I do not regret anything! I wish I could have stayed longer. And I would do it again! The owner wouldn't let me bring my pet bear. Why didn't I find this place sooner? Very much worth it. BE WARNED! NO INDOOR PLUMBING!! BEST TRIP EVER! My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,6
Tyler Bailey,June 2016, NO INDOOR PLUMBING!! I came here for my honemoon. I wish I could have stayed longer. The view form the back porch was to die for. BE WARNED! I want my money back. Very much worth it. And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,6
Zach McCain,August 2010, But the owner was cool. The owner wouldn't let me bring my pet bear. BEST TRIP EVER! This place is awesome! I do not regret anything! And I would do it again! The owner has the best style. It was quite a drive from the airport. The town was very cute. We had so much fun! Very much worth it. The view form the back porch was to die for. The place smelled very bad! My partner and I always wanted to visit. Why didn't I find this place sooner? I wish I could have stayed longer. But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,6
Matthew Morgan,June 2012, The owner wouldn't let me bring my pet bear. The owner has the best style. The view form the back porch was to die for. This place is awesome! I do not regret anything! You can tell the owner really likes bears. Very much worth it. The torcher chamber was a bit too much. My partner and I always wanted to visit. We had so much fun! NO INDOOR PLUMBING!! It was quite a drive from the airport. Why didn't I find this place sooner? The place smelled very bad! BE WARNED! The town was very cute. BEST TRIP EVER! I wish I could have stayed longer. But the owner was cool. But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,6
Parker Stafford,March 2013, But seriously tell all your friends! The place smelled very bad! We had so much fun! You can tell the owner really likes bears. I do not regret anything! Why didn't I find this place sooner? It was quite a drive from the airport. I want my money back. My partner and I always wanted to visit. Very much worth it. I came here for my honemoon. This place is awesome! BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4626351.jpeg,7
Alex Sandoval,February 2010, NO INDOOR PLUMBING!! It was quite a drive from the airport. I wish I could have stayed longer.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,7
Frans Larson,June 2013, The town was very cute. The owner has the best style. You can tell the owner really likes bears. The place smelled very bad! The view form the back porch was to die for. My partner and I always wanted to visit. Very much worth it. And I would do it again! NO INDOOR PLUMBING!! The owner wouldn't let me bring my pet bear. BE WARNED! We had so much fun! It was quite a drive from the airport. I wish I could have stayed longer.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4100670.jpeg,7
Quentin McMillian,April 2011, The view form the back porch was to die for. You can tell the owner really likes bears. BEST TRIP EVER! The owner has the best style. I wish I could have stayed longer. But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,7
Matthew Morgan,May 2010, I do not regret anything! And I would do it again! But seriously tell all your friends! This place is awesome! We had so much fun! It was quite a drive from the airport. But the owner was cool. Very much worth it. BE WARNED! The town was very cute. I came here for my honemoon. I wish I could have stayed longer. Why didn't I find this place sooner? My partner and I always wanted to visit. The owner has the best style. BEST TRIP EVER! The place smelled very bad! The torcher chamber was a bit too much. NO INDOOR PLUMBING!! You can tell the owner really likes bears. I want my money back.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,7
Leah Cardon,October 2020, Why didn't I find this place sooner? The place smelled very bad! The owner has the best style. The town was very cute. BEST TRIP EVER! You can tell the owner really likes bears. The owner wouldn't let me bring my pet bear. NO INDOOR PLUMBING!! And I would do it again! I do not regret anything! Very much worth it. We had so much fun! The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,7
Tre' Moore,November 2012, It was quite a drive from the airport. The town was very cute. I want my money back. I do not regret anything! But seriously tell all your friends! BEST TRIP EVER! This place is awesome! And I would do it again! The place smelled very bad! You can tell the owner really likes bears. I came here for my honemoon. I wish I could have stayed longer. The owner wouldn't let me bring my pet bear. NO INDOOR PLUMBING!! Why didn't I find this place sooner?,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,7
Seth Lassen,March 2020, It was quite a drive from the airport. My partner and I always wanted to visit. BEST TRIP EVER! We had so much fun! I do not regret anything! But the owner was cool. NO INDOOR PLUMBING!! The town was very cute. Why didn't I find this place sooner?,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,7
Michael Chen,February 2019, The town was very cute.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,7
John Kelly,November 2015, I want my money back. Why didn't I find this place sooner? I came here for my honemoon. I do not regret anything! The town was very cute. The owner has the best style. But the owner was cool. I wish I could have stayed longer. NO INDOOR PLUMBING!! Very much worth it. It was quite a drive from the airport. BE WARNED! And I would do it again! BEST TRIP EVER! The torcher chamber was a bit too much. The view form the back porch was to die for. You can tell the owner really likes bears. The place smelled very bad! My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,7
John Kelly,October 2013, Very much worth it. NO INDOOR PLUMBING!! I do not regret anything! And I would do it again! This place is awesome! I want my money back. BEST TRIP EVER! But the owner was cool. The town was very cute. But seriously tell all your friends! The place smelled very bad! Why didn't I find this place sooner? The torcher chamber was a bit too much. BE WARNED! The view form the back porch was to die for. My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,8
Tyler Bailey,June 2018, BEST TRIP EVER! The view form the back porch was to die for. The place smelled very bad! Very much worth it. And I would do it again! I came here for my honemoon. But seriously tell all your friends! The town was very cute. It was quite a drive from the airport. This place is awesome! BE WARNED! We had so much fun! The owner has the best style. The owner wouldn't let me bring my pet bear.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,8
Connor Wilson,July 2011, I wish I could have stayed longer. And I would do it again! This place is awesome! You can tell the owner really likes bears. The view form the back porch was to die for. Very much worth it. BE WARNED! The town was very cute. The owner has the best style. But seriously tell all your friends! BEST TRIP EVER! But the owner was cool. My partner and I always wanted to visit. I came here for my honemoon. NO INDOOR PLUMBING!! Why didn't I find this place sooner? The torcher chamber was a bit too much. It was quite a drive from the airport. We had so much fun! The owner wouldn't let me bring my pet bear. I want my money back.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,8
